X,Y,Z
343674.8633,6343551.952,827
345674.8633,6343551.952,999
347674.8633,6343551.952,1144
349674.8633,6343551.952,1533
351674.8633,6343551.952,1537
353674.8633,6343551.952,1636
355674.8633,6343551.952,1965
365674.8633,6343551.952,3087
367674.8633,6343551.952,3165
313674.8633,6341551.952,1312
315674.8633,6341551.952,1280
317674.8633,6341551.952,1280
319674.8633,6341551.952,647
321674.8633,6341551.952,858
323674.8633,6341551.952,757
325674.8633,6341551.952,761
327674.8633,6341551.952,886
329674.8633,6341551.952,723
331674.8633,6341551.952,593
333674.8633,6341551.952,603
335674.8633,6341551.952,725
337674.8633,6341551.952,706
339674.8633,6341551.952,649
341674.8633,6341551.952,676
343674.8633,6341551.952,791
345674.8633,6341551.952,1092
347674.8633,6341551.952,1529
349674.8633,6341551.952,1303
351674.8633,6341551.952,1236
353674.8633,6341551.952,1524
355674.8633,6341551.952,2077
363674.8633,6341551.952,2775
365674.8633,6341551.952,3031
367674.8633,6341551.952,3097
397674.8633,6341551.952,4927
313674.8633,6339551.952,1102
315674.8633,6339551.952,948
317674.8633,6339551.952,1065
319674.8633,6339551.952,635
321674.8633,6339551.952,669
323674.8633,6339551.952,873
325674.8633,6339551.952,639
327674.8633,6339551.952,629
329674.8633,6339551.952,734
331674.8633,6339551.952,577
333674.8633,6339551.952,586
335674.8633,6339551.952,596
337674.8633,6339551.952,621
339674.8633,6339551.952,639
341674.8633,6339551.952,672
343674.8633,6339551.952,759
345674.8633,6339551.952,923
347674.8633,6339551.952,1106
349674.8633,6339551.952,1096
351674.8633,6339551.952,1245
353674.8633,6339551.952,1645
355674.8633,6339551.952,1976
357674.8633,6339551.952,2307
363674.8633,6339551.952,2580
365674.8633,6339551.952,2633
367674.8633,6339551.952,3314
369674.8633,6339551.952,3542
395674.8633,6339551.952,4926
397674.8633,6339551.952,4468
399674.8633,6339551.952,4964
311674.8633,6337551.952,1567
313674.8633,6337551.952,1444
315674.8633,6337551.952,1016
317674.8633,6337551.952,676
319674.8633,6337551.952,594
321674.8633,6337551.952,650
323674.8633,6337551.952,773
325674.8633,6337551.952,630
327674.8633,6337551.952,569
329674.8633,6337551.952,806
331674.8633,6337551.952,572
333674.8633,6337551.952,699
335674.8633,6337551.952,600
337674.8633,6337551.952,614
339674.8633,6337551.952,642
341674.8633,6337551.952,683
343674.8633,6337551.952,772
345674.8633,6337551.952,807
347674.8633,6337551.952,939
349674.8633,6337551.952,1198
351674.8633,6337551.952,1475
353674.8633,6337551.952,1997
355674.8633,6337551.952,2047
357674.8633,6337551.952,2374
359674.8633,6337551.952,2421
361674.8633,6337551.952,2566
363674.8633,6337551.952,2347
365674.8633,6337551.952,2867
367674.8633,6337551.952,3271
369674.8633,6337551.952,3503
395674.8633,6337551.952,4322
397674.8633,6337551.952,4304
399674.8633,6337551.952,5579
309674.8633,6335551.952,1717
311674.8633,6335551.952,1826
313674.8633,6335551.952,1163
315674.8633,6335551.952,1045
317674.8633,6335551.952,710
319674.8633,6335551.952,571
321674.8633,6335551.952,666
323674.8633,6335551.952,867
325674.8633,6335551.952,661
327674.8633,6335551.952,551
329674.8633,6335551.952,557
331674.8633,6335551.952,568
333674.8633,6335551.952,579
335674.8633,6335551.952,604
337674.8633,6335551.952,646
339674.8633,6335551.952,667
341674.8633,6335551.952,673
343674.8633,6335551.952,724
345674.8633,6335551.952,914
347674.8633,6335551.952,977
349674.8633,6335551.952,1136
351674.8633,6335551.952,1360
353674.8633,6335551.952,1781
355674.8633,6335551.952,2372
357674.8633,6335551.952,2238
359674.8633,6335551.952,2239
361674.8633,6335551.952,2622
363674.8633,6335551.952,2075
365674.8633,6335551.952,2573
367674.8633,6335551.952,2797
369674.8633,6335551.952,3190
371674.8633,6335551.952,3508
373674.8633,6335551.952,3508
375674.8633,6335551.952,3778
377674.8633,6335551.952,3714
389674.8633,6335551.952,4517
393674.8633,6335551.952,4309
395674.8633,6335551.952,4064
397674.8633,6335551.952,4386
399674.8633,6335551.952,5400
303674.8633,6333551.952,1231
305674.8633,6333551.952,1069
307674.8633,6333551.952,1160
309674.8633,6333551.952,1382
311674.8633,6333551.952,2039
313674.8633,6333551.952,1552
315674.8633,6333551.952,952
317674.8633,6333551.952,739
319674.8633,6333551.952,586
321674.8633,6333551.952,566
323674.8633,6333551.952,665
325674.8633,6333551.952,563
327674.8633,6333551.952,547
329674.8633,6333551.952,553
331674.8633,6333551.952,560
333674.8633,6333551.952,570
335674.8633,6333551.952,680
337674.8633,6333551.952,671
339674.8633,6333551.952,674
341674.8633,6333551.952,699
343674.8633,6333551.952,681
345674.8633,6333551.952,796
347674.8633,6333551.952,949
349674.8633,6333551.952,1547
351674.8633,6333551.952,1475
353674.8633,6333551.952,2039
355674.8633,6333551.952,2339
357674.8633,6333551.952,2124
359674.8633,6333551.952,2054
361674.8633,6333551.952,1948
363674.8633,6333551.952,2282
365674.8633,6333551.952,2885
367674.8633,6333551.952,3409
